Opportunity ID,MCC_DESC,Industry_Corrected,Contract Start Date,Purchased Amount,Written Off,Date Written Off,Amount at Write Off
0062X00000wdxk1QAA,JEWELLERY STORES WATCHES CLOCK,Other Retailer,2018-12-31,23800.0,1,2019-02-14,23584.0
0062X00000wdymXQAQ,CIGAR STORES & STANDS,Other Retailer,2019-01-17,11200.0,0,,0.0
0062X00000wdZxlQAE,GROCERY STORES SUPERMARKETS,Food / Drink Shop,2018-12-17,8680.0,0,,0.0
0062X00000we5U1QAI,PHOTOFINISHING,Other Services,2019-01-16,17700.0,0,,0.0
0062X00000we6A2QAI,RESTAURANTS (EXCEPT EXPRESS),Bar / Pub / Restaurant,2019-01-04,16950.0,0,,0.0
0062X00000weGCkQAM,MOTORCYCLE SHOPS & DEALERS,Car Sales / Garage Services,2019-01-03,4020.0,0,,0.0
0062X00000weI3BQAU,MISC PUBLISH/PRINTING (P.CARD),Other Retailer,2018-12-31,10800.0,1,2019-09-06,9121.28
0062X00000weL7rQAE,HOTELS MOTELS & RESORTS-LODGIN,Bar / Pub / Restaurant,2019-01-07,18000.0,0,,0.0
0062X00000wePdQQAU,APPEREL & ACCESSORY STORES,Other Retailer,2019-01-03,3752.0,1,2019-02-14,3651.7
0062X00000weRJrQAM,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2019-01-04,6968.0,0,,0.0
0062X00000wFeACQA0,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2018-10-05,44400.0,0,,0.0
0062X00000wFietQAC,WOMENS READY TO WEAR STORES,Other Retailer,2018-09-24,22800.0,0,,0.0
0062X00000wFinbQAC,RESTAURANTS (EXCEPT EXPRESS),Other Services,2018-09-28,23200.0,0,,0.0
0062X00000wFkKMQA0,EXPRESS PAYMNT SRVCE FAST FOOD,Other Services,2018-09-25,3350.0,0,,0.0
0062X00000wFtKpQAK,DRINKING PLACES (ALCOHOLIC),Other Services,2018-10-09,17700.0,0,,0.0
0062X00000wFUAYQA4,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2018-09-21,11900.0,0,,0.0
0062X00000wFWuWQAW,LUMBER & BUILDING MATERIALS,Other Retailer,2018-09-28,18000.0,0,,0.0
0062X00000wFXlJQAW,MISCELLANEOUS & SPECIALITY RET,Fashion Retail,2018-10-02,2010.0,1,2019-01-14,1650.0
0062X00000wG0QmQAK,AUTOMOTIVE TYRE STORES,Other Services,2018-10-15,57500.0,0,,0.0
0062X00000wG3aHQAS,HOBBY TOYS & GAME SHOPS,Other Retailer,2018-10-04,8932.0,0,,0.0
0062X00000wG6v6QAC,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2018-09-27,6650.0,0,,0.0
0062X00000wG95LQAS,EXPRESS PAYMNT SRVCE FAST FOOD,Bar / Pub / Restaurant,2018-09-28,8470.0,0,,0.0
0062X00000wG9reQAC,GROCERY STORES SUPERMARKETS,Other Services,2018-11-16,46200.0,0,,0.0
0062X00000wGAMcQAO,MANAGEMENT CONSULTING & PUBLIC,Other Services,2018-10-01,12100.0,0,,0.0
0062X00000wGCaXQAW,ART DEALERS & GALLERIES,Other Retailer,2018-09-28,9280.0,0,,0.0
0062X00000wGeVLQA0,HOTELS MOTELS & RESORTS-LODGIN,Hotel / B&B,2018-10-08,11900.0,0,,0.0
0062X00000wGHPCQA4,BARBER & BEAUTY SHOPS,Other Services,2018-10-12,6000.0,0,,0.0
0062X00000wGjvWQAS,EXPRESS PAYMNT SRVCE FAST FOOD,Bar / Pub / Restaurant,2018-10-05,23400.0,0,,0.0
